"twitter","id","name","age","gender","party","type","state","joined","days","tweets","followers","following"
"RepBlainePress","L000569","Blaine Luetkemeyer",62,"M","Republican","rep","MO","2013-09-09 19:53:08",301,460,897,145
"RepBobGibbs","G000563","Bob Gibbs",60,"M","Republican","rep","OH","2011-01-06 17:17:21",1278,1578,7344,3252
"RepBobbyRush","R000515","Bobby Rush",67,"M","Democrat","rep","IL","2011-05-25 20:59:25",1139,509,4260,146
"RepBobbyScott","S000185","Robert Scott",67,"M","Democrat","rep","VA","2010-07-01 19:57:00",1467,989,7857,1337
"RepBonamici","B001278","Suzanne Bonamici",59,"F","Democrat","rep","OR","2012-04-20 16:30:32",808,551,3596,822
"RepBoustany","B001255","Charles Boustany",58,"M","Republican","rep","LA","2011-02-08 21:15:08",1245,300,4689,252
"RepBradWenstrup","W000815","Brad Wenstrup",56,"M","Republican","rep","OH","2012-03-08 16:25:14",851,1979,2692,760
"RepBrady","B001227","Robert Brady",69,"M","Democrat","rep","PA","2010-05-26 18:53:52",1503,495,6208,579
"RepBrianHiggins","H001038","Brian Higgins",54,"M","Democrat","rep","NY","2009-04-20 16:47:06",1904,5595,11588,1723
"RepByrne","B001289","Bradley Byrne",59,"M","Republican","rep","AL","2013-12-19 19:42:18",200,918,2043,1360
"RepCardenas","C001097","Tony Cárdenas",51,"M","Democrat","rep","CA","2013-02-26 16:12:35",496,2282,2614,857
"RepCartwright","C001090","Matthew Cartwright",53,"M","Democrat","rep","PA","2012-08-23 20:05:56",683,1629,2945,1175
"RepCheri","B001286","Cheri Bustos",52,"F","Democrat","rep","IL","2013-01-15 19:15:03",538,650,4899,3590
"RepChrisCollins","C001092","Chris Collins",64,"M","Republican","rep","NY","2013-01-03 16:55:01",550,1876,2479,100
"RepChrisGibson","G000564","Christopher Gibson",50,"M","Republican","rep","NY","2011-01-06 23:23:12",1278,881,6235,201
"RepChrisSmith","S000522","Christopher Smith",61,"M","Republican","rep","NJ","2013-03-22 18:03:53",472,196,2167,50
"RepChrisStewart","S001192","Chris Stewart",54,"M","Republican","rep","UT","2013-01-08 21:08:19",545,684,2548,486
"RepChuck","F000459","Charles Fleischmann",51,"M","Republican","rep","TN","2011-01-07 15:46:29",1277,1095,5586,620
"RepCicilline","C001084","David Cicilline",53,"M","Democrat","rep","RI","2012-01-12 16:26:40",907,383,2037,1987
"RepCleaver","C001061","Emanuel Cleaver",69,"M","Democrat","rep","MO","2010-07-06 19:14:47",1462,1509,10646,519
"RepCohen","C001068","Steve Cohen",65,"M","Democrat","rep","TN","2010-07-02 15:10:21",1466,2431,10521,417
"RepCorrineBrown","B000911","Corrine Brown",67,"F","Democrat","rep","FL","2011-05-04 13:48:56",1160,903,6099,241
"RepCoryGardner","G000562","Cory Gardner",39,"M","Republican","rep","CO","2011-01-07 17:02:56",1277,1594,6913,636
"RepCuellar","C001063","Henry Cuellar",58,"M","Democrat","rep","TX","2010-11-01 20:20:17",1344,2081,7852,1855
"RepCummings","C000984","Elijah Cummings",63,"M","Democrat","rep","MD","2012-08-28 16:37:01",678,1182,7100,676
"RepDLamborn","L000564","Doug Lamborn",60,"M","Republican","rep","CO","2012-05-18 16:01:17",780,1289,3372,630
"RepDWStweets","W000797","Debbie Wasserman Schultz",47,"F","Democrat","rep","FL","2013-02-01 20:31:25",521,778,4407,1664
"RepDanKildee","K000380","Daniel Kildee",55,"M","Democrat","rep","MI","2012-12-29 15:05:47",555,942,8691,6019
"RepDanMaffei","M001171","Daniel Maffei",46,"M","Democrat","rep","NY","2013-01-03 13:59:34",550,537,2475,8
"RepDannyDavis","D000096","Danny Davis",72,"M","Democrat","rep","IL","2012-08-29 12:31:09",677,164,833,235
"RepDaveCamp","C000071","Dave Camp",61,"M","Republican","rep","MI","2009-04-01 19:41:43",1923,1728,16032,6311
"RepDaveJoyce","J000295","David Joyce",57,"M","Republican","rep","OH","2012-11-28 21:12:14",586,1486,2882,2159
"RepDavid","S001183","David Schweikert",52,"M","Republican","rep","AZ","2010-12-21 19:48:02",1294,2943,9732,1898
"RepDavidEPrice","P000523","David Price",73,"M","Democrat","rep","NC","2010-06-14 19:44:06",1484,1723,6497,2378
"RepDavidScott","S001157","David Scott",69,"M","Democrat","rep","GA","2010-07-20 14:10:32",1448,1479,6336,784
"RepDavidValadao","V000129","David Valadao",37,"M","Republican","rep","CA","2013-01-28 16:19:14",525,347,2137,193
"RepDeSantis","D000621","Ron DeSantis",35,"M","Republican","rep","FL","2013-01-03 21:20:17",550,1239,5030,1440
"RepDelBene","D000617","Suzan DelBene",52,"F","Democrat","rep","WA","2012-12-07 14:40:48",577,998,3626,310
"RepDennisRoss","R000593","Dennis Ross",54,"M","Republican","rep","FL","2009-04-20 20:43:13",1904,11236,7777,1224
"RepDennyHeck","H001064","Denny Heck",61,"M","Democrat","rep","WA","2013-01-07 14:55:36",546,944,2102,422
"RepDerekKilmer","K000381","Derek Kilmer",40,"M","Democrat","rep","WA","2013-01-03 22:15:02",550,412,3084,48
"RepDianaDeGette","D000197","Diana DeGette",56,"F","Democrat","rep","CO","2009-04-03 16:41:06",1921,1043,11377,11113
"RepDianeBlack","B001273","Diane Black",63,"F","Republican","rep","TN","2010-02-01 22:58:22",1617,2604,9486,1380
"RepDinaTitus","T000468","Dina Titus",64,"F","Democrat","rep","NV","2010-03-11 21:05:31",1579,1897,4906,1210
"RepDonYoung","Y000033","Don Young",81,"M","Republican","rep","AK","2009-05-01 18:31:38",1893,735,7615,372
"RepDonaldPayne","P000604","Donald Payne",55,"M","Democrat","rep","NJ","2013-02-06 22:52:35",516,916,1771,514
"RepDonnaEdwards","E000290","Donna Edwards",56,"F","Democrat","rep","MD","2009-10-15 16:04:37",1726,2596,14710,235
"RepDougCollins","C001093","Doug Collins",47,"M","Republican","rep","GA","2013-01-04 13:43:55",549,1139,3066,589
"RepDuckworth","D000622","Tammy Duckworth",46,"F","Democrat","rep","IL","2013-01-03 18:59:33",550,803,6750,2301
"RepEBJ","J000126","Eddie Johnson",78,"F","Democrat","rep","TX","2010-07-19 14:25:48",1449,5137,9280,854
"RepEdRoyce","R000487","Edward Royce",62,"M","Republican","rep","CA","2011-02-03 12:40:15",1250,1161,8296,348
